Life expectancy,percentage expenditure,Hepatitis B,Polio,Total expenditure,Diphtheria,GDP,Income composition of resources,Schooling
65.0,4.280542258460885,65.0,6.0,8.16,65.0,6.372054843111785,0.479,10.1
59.9,4.311115607917084,62.0,58.0,8.18,62.0,6.419500529079097,0.476,10.0
59.9,4.307023452400663,64.0,62.0,8.13,64.0,6.450067459449026,0.47,9.9
59.5,4.371776977189467,67.0,67.0,8.52,67.0,6.508708032273233,0.463,9.8
59.2,2.091507047709576,68.0,68.0,7.87,68.0,4.16724228207777,0.454,9.5
58.8,4.39048287170673,66.0,66.0,9.2,66.0,6.317758265057453,0.448,9.2
58.6,4.056334873695729,63.0,63.0,9.42,63.0,6.1023198589596435,0.434,8.9
58.1,3.2911564990436903,64.0,64.0,8.33,64.0,5.925220883173701,0.433,8.7
57.5,2.4773914798389645,63.0,63.0,6.73,63.0,5.9157593662491115,0.415,8.4
57.3,2.89985539625697,64.0,58.0,7.43,58.0,5.611534757389504,0.405,8.1
57.3,0.8707274033063157,66.0,58.0,8.7,58.0,3.26934571655277,0.396,7.9
57.0,2.790923755376677,67.0,5.0,8.79,5.0,5.394269852756704,0.381,6.8
56.7,2.4923003100268697,65.0,41.0,8.82,41.0,5.296959162606505,0.373,6.5
56.2,2.8840938099771143,64.0,36.0,7.76,36.0,5.240931603336766,0.341,6.2
55.3,2.448824118055131,63.0,35.0,7.8,33.0,4.774887475018364,0.34,5.9
54.8,2.4358004356800476,62.0,24.0,8.2,24.0,4.749789875598035,0.338,5.5
77.8,5.902565649963353,99.0,99.0,6.0,99.0,8.282793484105197,0.762,14.2
77.5,6.063201472765545,98.0,98.0,5.88,98.0,8.428747430626215,0.761,14.2
77.2,6.068140775698127,99.0,99.0,5.66,99.0,8.392926891245157,0.759,14.2
76.9,6.024520519106913,99.0,99.0,5.59,99.0,8.35434818052441,0.752,14.2
76.6,6.082360681148413,99.0,99.0,5.71,99.0,8.397999364061072,0.738,13.3
76.2,3.757069671326781,99.0,99.0,5.34,99.0,6.2052824130773905,0.725,12.5
76.1,5.855232229409847,98.0,98.0,5.79,98.0,8.322427294820676,0.721,12.2
75.3,3.6275908050833463,99.0,99.0,5.87,99.0,6.083450222776355,0.713,12.0
75.9,3.50395107089853,98.0,99.0,6.1,98.0,5.897529758519371,0.703,11.6
74.2,1.4591158739967494,98.0,97.0,5.86,97.0,3.5871041704908206,0.696,11.4
73.5,3.3319588167807677,98.0,97.0,6.12,98.0,5.635299940781998,0.685,10.8
