percentage expenditure,Hepatitis B,Polio,Total expenditure,Diphtheria,GDP,Income composition of resources,Schooling
5.628274976134983,92.0,94.0,2.65,94.0,8.109081538295266,0.808,12.3
1.2772320656550649,89.0,9.0,4.41,89.0,5.290576886175689,0.0,8.8
3.425803502382132,64.0,62.0,4.55,64.0,6.086209418519259,0.38,8.3
1.6818173804706396,84.0,85.0,6.35,84.0,3.30146974926522,0.362,10.3
1.6373046713560362,98.0,97.0,5.25,98.0,3.802726085620789,0.636,10.3
0.9503769862245804,79.0,87.0,4.72,87.0,5.073099552938462,0.622,10.2
5.529168465060279,96.0,95.0,7.44,93.0,7.867940136585294,0.866,15.8
6.455960754088251,9.0,93.0,6.9,94.0,8.80736433725309,0.787,15.0
8.815915733867884,83.0,98.0,11.54,98.0,10.667937268887073,0.89,16.2
3.405665674290638,91.0,93.0,4.57,93.0,5.930765679722913,0.736,15.8
8.933938251518027,88.0,94.0,11.25,95.0,10.640329961762935,0.907,16.7
6.108347842341541,96.0,95.0,2.58,96.0,8.741545493496805,0.835,13.7
6.257215203388294,96.0,98.0,3.56,98.0,8.28734339089622,0.687,12.3
4.338735828347251,91.0,87.0,9.46,89.0,6.285747690720974,0.735,14.2
4.857975062443533,95.0,97.0,5.23,97.0,7.692787948599925,0.575,10.0
8.205981228830268,89.0,86.0,7.71,9.0,9.994916651589516,0.881,18.2
6.651403946441658,99.0,93.0,1.2,94.0,8.605043198290836,0.743,13.5
4.555750867032288,89.0,8.0,7.12,88.0,5.964513840002609,0.702,11.6
8.753715323798911,14.0,93.0,9.57,93.0,10.496554374507973,0.886,15.8
7.6232360777454735,83.0,95.0,7.24,96.0,9.63721540322353,0.825,15.7
4.755987558227454,97.0,98.0,4.81,97.0,7.051802132347808,0.769,14.7
6.401520453856035,98.0,98.0,4.62,98.0,8.933248891373347,0.0,12.3
3.5122984722451025,95.0,95.0,9.5,95.0,5.570086809492064,0.723,13.5
7.900643345118352,98.0,98.0,9.55,98.0,9.981361849675164,0.827,16.3
8.237652626235302,29.0,97.0,1.22,97.0,10.09725348031494,0.851,15.5
7.726764854433047,94.0,96.0,7.68,99.0,9.613560361691096,0.884,13.7
7.967049618916406,95.0,96.0,8.23,93.0,10.007738264589689,0.836,15.2
5.409332367529082,93.0,94.0,7.89,94.0,7.373733430603678,0.59,10.9
5.767133369594878,86.0,95.0,6.41,95.0,7.746384068178056,0.649,12.0
7.394856400777408,99.0,99.0,11.16,99.0,8.869726575925158,0.683,12.4
6.220203642325992,98.0,98.0,5.95,97.0,8.760481766774719,0.755,15.1
5.2067506420635326,84.0,85.0,5.27,84.0,9.6580702157529,0.766,14.8
8.068914861672816,99.0,99.0,2.3,99.0,10.771685335030122,0.852,14.4
6.262392859057116,89.0,99.0,7.67,89.0,8.449062433916492,0.732,14.7
6.378227221245279,8.0,85.0,4.41,82.0,8.507885515076413,0.695,12.9
7.316747519439234,99.0,92.0,3.1,92.0,9.99413472741172,0.828,13.7
0.3064926055793632,98.0,98.0,2.16,98.0,3.30949969560462,0.0,10.4
3.990547944149817,99.0,99.0,5.63,99.0,6.070582057687881,0.701,14.3
5.486807857115728,99.0,99.0,6.66,99.0,6.856103237199803,0.47,8.4
5.197722670199703,99.0,99.0,5.94,99.0,8.043265998893023,0.634,12.1
6.181679751305154,94.0,94.0,8.68,94.0,9.734018455895807,0.788,15.5
5.906680271195751,98.0,99.0,8.43,98.0,7.52196665444246,0.63,11.5
4.647952519228209,89.0,89.0,4.49,92.0,7.311193915182383,0.751,12.3
4.040083293190591,89.0,89.0,1.96,89.0,5.810908447976136,0.459,10.7
4.304507724282633,79.0,79.0,4.75,8.0,6.859811367459906,0.456,8.3
1.0171901536330776,73.0,79.0,9.98,7.0,4.756916549189766,0.0,11.6
1.8652096219946104,93.0,86.0,5.91,93.0,4.045591057380707,0.727,12.8
4.6703088226453175,49.0,9.0,3.91,89.0,7.086484687563333,0.642,11.6
4.4764903188018135,99.0,99.0,6.37,99.0,8.930592420974898,0.791,15.9
8.64663984074937,39.0,99.0,1.53,99.0,10.506315672657085,0.87,16.1
4.935670789992984,18.0,93.0,5.47,84.0,9.351394686704404,0.75,14.0
